date,transID,quantity,type,price,clientName,stationName,transactionType,transactionFor,journalTransactionID
2012-04-21 00:14:43,2480116750,3,30 Day Pilot's License Extension (PLEX),494649989.98,Baroness Arica,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal,5772295323
2012-04-21 00:13:26,2480115970,1,30 Day Pilot's License Extension (PLEX),494649989.98,Stinky Old Ron,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal,5772292027
2012-04-21 00:05:05,2480110430,1,Nanotransistors Reaction,4400000.00,Quarum Nibblet,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5772267252
2012-04-21 00:04:36,2480110050,1,Neo Mercurite Reaction,900000.00,Rijana Velux,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5772265741
2012-04-21 00:04:22,2480109868,1,Platinum Technite Reaction,900000.00,Rijana Velux,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5772264978
2012-04-21 00:04:00,2480109601,8400,Neodymium,19299.99,Trollestia,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5772263857
2012-04-21 00:03:45,2480109399,8400,Mercury,3999.93,Jass Sunrunner,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5772263019
2012-04-20 23:57:55,2480105392,8400,Platinum,3899.99,Trollestia,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Corporation,5772245583
2012-04-20 22:18:37,2480034219,2,30 Day Pilot's License Extension (PLEX),499737887.66,Wvarianslove,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal,5771924074
2012-04-19 04:02:59,2478425489,1,Expanded Cargohold II,869999.99,Jacek Flame,Ardene VIII - Moon 11 - Center for Advanced Studies School,Buy,Corporation,5764601727
2012-04-19 04:01:52,2478424802,50,Gaze Survey Probe I,194011.20,CBD Corporation,Ardene VI - Moon 12 - CBD Corporation Storage,Buy,Corporation,5764598973
2012-04-16 04:30:47,2475662439,28,Warp Disruptor I,83999.97,Oriana Bananana,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752009455
2012-04-16 04:30:40,2475662367,158,Warp Disruptor I,83999.97,Oriana Bananana,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008955
2012-04-16 04:30:40,2475662365,5,Warp Disruptor I,83999.97,Mapuhi,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008942
2012-04-16 04:30:40,2475662364,7,Warp Disruptor I,83999.97,Djey Li,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008931
2012-04-16 04:30:39,2475662363,7,Warp Disruptor I,83999.97,Rufus Winchester,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008920
2012-04-16 04:30:39,2475662362,2,Warp Disruptor I,83999.97,Krista Tokila,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008914
2012-04-16 04:30:39,2475662360,2,Warp Disruptor I,83999.97,Rico Cruise,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008907
2012-04-16 04:30:39,2475662359,5,Warp Disruptor I,83999.97,Weselowsky,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752008904
2012-04-16 04:30:11,2475662146,33,Warp Scrambler I,79997.92,Kavaien,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007461
2012-04-16 04:30:11,2475662145,9,Warp Scrambler I,79997.92,Weselowsky,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007457
2012-04-16 04:30:11,2475662144,8,Warp Scrambler I,79997.92,NeXuS of Omni,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007454
2012-04-16 04:30:11,2475662143,2,Warp Scrambler I,79997.92,Jon Biggs,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007448
2012-04-16 04:30:11,2475662142,1,Warp Scrambler I,79997.92,Namidea Tivianne,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007445
2012-04-16 04:30:11,2475662140,5,Warp Scrambler I,79997.92,Jago Price,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007438
2012-04-16 04:30:11,2475662139,18,Warp Scrambler I,79997.92,Brad0295,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007435
2012-04-16 04:30:11,2475662137,4,Warp Scrambler I,79997.92,Brad0295,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752007429
2012-04-16 04:29:47,2475661956,24,R.A.M.- Electronics,73998.99,Spacey Stacie,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752006634
2012-04-16 04:29:47,2475661955,1,R.A.M.- Electronics,73998.99,Cirdan Carnil,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752006631
2012-04-16 04:29:47,2475661954,81,R.A.M.- Electronics,73998.99,Bifordus Maximus,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,Buy,Corporation,5752006628
